NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
1309;Peraturan Pemerintah RI No.59 Tahun 2015 Tentang Keikutsertaan Perancang Peraturan Perundang-undangan Dalam Pembentukan Peraturan Perundang-undangan Dan Pembinaannya;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2711;;;;;
1310;Peraturan Pemerintah RI No.60 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.46 Tahun 2015 Tentang Penyelenggaraan Program Jaminan Hari Tua;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2727;;;;;
1311;Peranturan Pemerintah RI No.64 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.61 Tahun 2009 Tentang Kepelabuhan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1312;Peraturan Pemerintah RI No.65 Tahun 2015 Tentang Pedoman Pelaksanaan Diversi Dan Penanganan Anak Yang Belum Berumur 12 (Dua Belas) Tahun;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2720;;;;;
1313;Peraturan Pemerintah RI No.66 Tahun 2015 Tentang Museum;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2715;;;;;
1314;Peraturan Pemerintah RI No.67 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Lembaga Pembiayaan Ekspor Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2716;;;;;
1315;Peraturan Pemerintah RI No.80 Tahun 2015 Tentang Jenis Dan Tarif Atas Jenis PNBP Yang Berlaku Pada Kementerian Komunikasi Dan Informatika;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1316;Peraturan Pemerintah No.85 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah RI No.32 Tahun 2009 Tentang Tempat Penimbunan Berikat;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1317;Peraturan Pemerintah RI No.86 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Saham Perusahaan Perseron (Persero) PT Pertani;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1318;Peraturan Pemerintah RI No.87 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Sang Hyang Seri;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1319;Peraturan Pemerintah RI No.88 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perikanan Nusantara;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1320;Peraturan Pemerintah RI No.89 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Perikanan Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1321;Peraturan Pemerintah RI No.90 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Pembangunan Perumahan Nasional;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1322;Peraturan Pemerintah RI No.91 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Garam;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1323;Peraturan Pemerintah RI No.92 Tahun 2015 Tentang Perubahan Kedua Atas Peraturan Pemerintah No.27 Tahun 1983 Tentang Pelaksanaan KUHAP;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1324;Peraturan Pemerintah RI No.93 Tahun 2015 Tentang Rumah Sakit Pendidikan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1325;Peraturan Pemerintah RI No.94 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT. Penjamin Infrastruktur Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1326;Peraturan Pemerintah RI No.95 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perseroan (Persero) PT Sarana Multi Infrastruktur;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1327;Peraturan Pemerintah RI No.96 Tahun 2015 Tentang Fasilitas Dan Kemudahan Di Kawasan Ekonomi Khusus;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1328;Peraturan Pemerintah RI No.97 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Bank Indonesia Dalam Rangka Pengalihan Kuota Pemerintah RI Pada Internasional Monetary Fund Kepada Bank Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1329;Peraturan Pemerintah RI No.98 Tahun 2015 Tentang Peraturan Pelaksanaan Undang-undang No.9 Tahun 1966 Tentang Keanggotaan Kembali RI Dalam Dana Moneter Internasional (International Monetery Fund) Dan Bank Indonesia Untuk Rekonstruksi Dan Pembangunan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1330;Peraturan Pemerintah RI No.99 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Pada Internatinonal Bank For Reconstruction And Development;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1331;Peraturan Pemerintah RI No.100 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Pada International Fund For Agricultural development;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1332;Peraturan Pemerintah RI No.101 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Pada International Development Association;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1333;Peraturan Pemerintah RI No.102 Tahun 2015 Tentang Asuransi Sosial Prajurit TNI, Anggota POLRI, Dan Pegawai ASN Di Lingkungan Kementerian Pertahanan Dan POLRI;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1334;Peraturan Pemerintah RI No.103 Tahun 2015 Tentang Pemilikan Rumah Tempat Tinggal Atau Hunian Oleh Orang Asing Yang Berkedudukan Di Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1335;Peraturan Pemerintah RI No.104 Tahun 2015 Tentang Tata Cara Perubahan Peruntukan Dan Fungsi Kawasan Hutan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1336;Peraturan Pemerintah RI No.105 Tahun 2015 Tentang Perubahan Kedua Atas Peraturan Pemerintah No.24 Tahun 2010 Tentang Penggunaan Kawasan Hutan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;ADA;;;;;;;;
1337;Peraturan Pemerintah RI No.106 Tahun 2015 Tentang Penyerahan Barang Kena Pajak Tertentu Yang Bersifat Strategis Yang Tidak Dipungut Pajak Pertambahan Nilai;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1338;Peraturan Pemerintah RI No.107 Tahun 2015 Tentang Izin Usaha Industri;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1339;Peraturan Pemerintah RI No.108 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.28 Tahun 2011 Tentang Pengelolaan Kawasan Suaka Alam Dan Kawasan Pelestarian Alam;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1340;Peraturan Pemerintah RI No.109 Tahun 2015 Tentang Pembiayaan Hortikultura;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1341;Peraturan Pemerintah RI No.110 Tahun 2015 Tentang Usaha Wisata Agro Hortikultura;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1342;Peraturan Pemerintah RI No.111 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Saham Perusahaan Perseroan (Persero) PT Pelayaran Nasional Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1343;Peraturan Pemerintah RINo.112 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT ASDP Indonesia Ferry;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1344;Peraturan Pemerintah RI No.113 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Dok Dan Perkapalan Kodja Bahari;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1345;Peraturan Pemerintah RI No.114 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perseroan (Persero) PT Dok Dan Perkapalan Surabaya;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1346;Peraturan Pemerintah RI No.115 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Industri Kapal Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1347;Peraturan Pemerintah RI No.116 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pengembangan Pariwisata Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1348;Peraturan Pemerintah RI No.117 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Permodalan Nasional Madani;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1349;Peraturan Pemerintah RI No.118 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (persero) PT Dirgantara Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1350;Peraturan Pemerintah RI No.119 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pelabuhan Indonesia IV;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1351;Peraturan Pemerintah RI No.120 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pindad;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1352;Peraturan Pemerintah RI No.121 Tahun 2015 Tentang Pengusahaan Sumber Daya Air;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1353;Peraturan Pemerintah RI No.122 Tahun 2015 Tentang Sistem Penyediaan Air Minum;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1354;Peraturan Pemerintah RI No.123 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.131 Tahun 2000 Tentang PPh Atas Bunga Deposito Dan Tabungan Sertifikat Bank Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1355;Peraturan Pemerintah RI No.124 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal BPJS Kesehatan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1356;Peraturan Pemerintah RI No.125 Tahun 2015 Tentang Penambahan Penyertaan Modal Saham Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1357;Peraturan Pemerintah RI No.126 Tahun 2015 Tentang Perubahan Struktur Kepemilikan Saham Negara Melalui Penerbitan Saham Baru Pada Perusahaan Perseroan (Persero) PT Pelayaran Samudra Djakarta Lloyd;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1358;Peraturan Pemerintah RI No.127 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.57 Tahun 2008 Tentang Pendirian Perusahaan Penerbit Surat Berharga Syariah Negara Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1359;Peraturan Pemerintah RI No.128 Tahun 2015 Tentang Jenis Dan Tarif Atas Jenis PNBP Yang Berlaku Pada Kementerian Agraria Dan Tata Ruang / Badan Pertanahan Nasional;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1360;Peraturan Pemerintah RI No.129 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pelayaran Samudera Djakarta Lloyd;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1361;Peraturan Pemerintah RI No.130 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Angkasa Pura II;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1362;Peraturan Pemerintah RI No.131 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Kereta Api Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1363;Peraturan Pemerintah RI No.132 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Asuransi Kredit Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1364;Peraturan Pemerintah RI No.133 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Bahana Pembinaan Usaha Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1365;Peraturan Pemerintah RI No.134 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Umum (Perum) Jaminan Kredit Indonesia;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1366;Peraturan Pemerintah RI No.135 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perkebunan Nusantara III;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1367;Peraturan Pemerintah RI No.136 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara VII;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1368;Peraturan Pemerintah RI No.137 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara IX;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1369;Peraturan Pemerintah RI No.138 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara X;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1370;Peraturan Pemerintah RI No.139 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara XI;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1371;Peraturan Pemerintah RI No.140 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham PT Perkebunan Nusantara XII;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1372;Peraturan Pemerintah RI No.141 Tahun 2015 Tentang Pengelolaan Industri Pertahanan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1373;Peraturan Pemerintah RI No.142 Tahun 2015 Tentang Kawasan Industri;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;download;;;;;
1374;Peraturan Pemerintah RI No.1 Tahun 2016 Tentang Lembaga Pelaksanan Penjaminan Sistem Resi Gudang;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1375;Peraturan Pemerintah RI No.9 Tahun 2016 Tentang Perubahan Atas Peraturan Pemerintah No.18 Tahun 2015 Tentang Fasilitas Pajak Penghasilan Untuk Penanaman Modal Di Bidang-bidang Usaha Tertentu Dan/Atau Di Daerah-daerah Tertentu ;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1376;Peraturan Pemerintah RI No.10 Tahun 2016 Tentang Penyertaan Modal Negara RI Pada Asian Infrastructure Invesment Bank;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1377;Peraturan Pemerintah RI No.12 Tahun 2016 Tentang Penghasilan, Hak Lainnya Dan Perlindungan Keamanan Bagi Pimpinan Lembaga Perlindungan Saksi Dan Korban;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1378;Peraturan Pemerintah RI No.16 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1379;Peraturan Pemerintah RI No.17 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1380;Peraturan Pemerintah RI No.19 Tahun 2016 Tentang Pemberian Gaji, Pensiun, Atau Tunjangan Ketiga Belas Kepada PNS, Prajurit TNI, Anggota POLRI, Pejabat Negara, Dan Penerima Pensiun Atau Tunjangan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1381;Peraturan Pemerintah RI No.20 Tahun 2016 Tentang Pemberian Tunjangan Hari Raya Dalam Tahun Anggaran 2016 Kepada PNS, Prajurit TNI, Anggota POLRI Dan Pejabat Negara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1382;Peraturan Pemerintah RI No.21 Tahun 2016 Tentang Pemberian Penghasilan Ketiga Belas Kepada Pimpinan Dan Pegawai Non Pegawai Negeri Sipil Pada Lembaga Non Struktural;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1383;Peraturan Pemerintah RI No.22 Tahun 2016 Tentang Pemberian Tunjangan Hari Raya Dalam Tahun Anggaran 2016 Kepada Pimpinan Dan Pegawai Non PNS Pada Lembaga Non Struktural;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1384;Peraturan Pemerintah RI No.25 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Angkasa Pura I;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1385;Peraturan Pemerintah RI No.26 Tahun 2016 Tentang Perubahan Atas Peraturan Pemerintah No.31 Tahun 2013 Tentang Peraturan Pelaksanaan Undang-undang No.6 Tahun 2011 Tentang Keimigrasian;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1386;Peraturan Pemerintah RI No.27 Tahun 2016 Tentang Pemindahan Ibu Kota Kabupaten Pasuruan Dari Wilayah Kota Pasuruan Ke Wilayah Kecamatan Bangil Kabupaten Pasuruan Provinsi Jawa Timur ;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1387;Peraturan Pemerintah RI No.28 Tahun 2016 Tentang Besaran Dan Tata Cara Pemberian Bonus Produksi Panas Bumi;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1388;Peraturan Pemerintah RI No.29 Tahun 2016 Tentang Perubahan Modal Dasar Perseroan Terbatas;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1389;Peraturan Pemerintah RI No.30 Tahun 2016 Tentang Pemindahan Ibukota Kabupaten Nias Dari Wilayah Kota Gunungsitoli Ke Wilayah Kecamatan Gido Kabupaten Nias Provinsi Sumatera Utara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1390;Peraturan Pemerintah RI No.31 Tahun 2016 Tentang Kawasan Ekonomi Khusus Sorong;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1391;Peraturan Pemerintah RI No.32 Tahun 2016 Tentang Jenis Dan Tarif Atas Jenis PNBP Yang Berlaku Pada LIPI;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1392;Peraturan Pemerintah RI No.33 Tahun 2016 Tentang Penambahan Penyertaan Modal Saham Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1393;Peraturan Pemerintah RI No.36 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Garuda Indonesia Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1394;Peraturan Pemerintah RI No.37 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Garuda Indonesia Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1395;Peraturan Pemerintah RI No.39 Tahun 2016 Tentang Jenis Dan Tarif Atas Jenis PNBP Yang Berlaku Pada Kejaksaan RI;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1396;Peraturan Pemerintah RI No.40 Tahun 2016 Tentang Pajak Penghasilan Atas Penghasilan Dari Pengalihan Real Estate Dalam Skema Kontrak Investasi Kolektif Tertentu;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1397;Peraturan Pemerintah RI No.42 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Wijaya Karya Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1398;Peraturan Pemerintah RI No.44 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Pembangunan Perumahan Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1399;Peraturan Pemerintah RI No.48 Tahun 2016 Tentang Tata Cara Pengenaan Sanksi Administratif Kepada Pejabat Pemerintahan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1400;Peraturan Pemerintah RI No.49 Tahun 2016 Tentang Jenis Dan Tarif Atas Jenis PNBP Yang Berlaku Pada Kementerian Luar Negeri;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1401;Peraturan Pemerintah RI No.50 Tahun 2016 Tentang Perubahan Atas Peraturan Pemerintah No.35 Tahun 2009 Tentang Penyertaan Modal Negara RI Untuk Pendirian Perusahaan Perseroan (Persero) Di Bidang Penjaminan Infrastruktur;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1402;Peraturan Pemerintah RI No.51 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Jasa Marga Tbk;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1403;Peraturan Pemerintah RI No.52 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Kereta Api Indonesia;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1404;Peraturan Pemerintah RI No.53 Tahun 2016 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Angkasa Pura II;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1405;Peraturan Pemerintah RI No.54 Tahun 2016 Tentang Perubahan Ketiga Atas Peraturan Pemerintah No.29 Tahun 2000 Tentang Penyelenggaraan Jasa Konstruksi;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
